all_rounder,match_id,home_team,opposition_team,venue,bat_inning,batsman_runs,balls,strike_rate,total_batting_points,bat_fp,total_points,batting_avg_inning_points,batting_avg_venue_points,batting_avg_oppo_points,avg_strike_rate,avg_batsman_runs,bowl_inning,total_bowler_runs,maiden,economy,overs,wickets,bowling_fp,bowl_fp_avg,bowl_opp_avg,bowl_ven_avg,bowl_inn_avg,bowl_run_avg,eco_avg,maiden_avg,wicket_avg,bowl_over_avg,rating
A Ashish Reddy,286,Deccan Chargers,Mumbai Indians,Wankhede Stadium,1,10,10,100,7,0,7,7,7,7,100,10,2,11,0,3.66666666666667,3,1,31,58,31,31,44.5,21.5,5.83333333333333,0,1.5,3.5,8
A Ashish Reddy,292,Deccan Chargers,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2,3,3,100,3,0,3,3,3,3,100,6.5,1,16,0,8,2,1,25,37.3333333333333,25,25,25,22.75,7.58333333333333,0,1.25,3,8
A Ashish Reddy,298,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",2,8,8,100,5,0,5,4,5,5,100,7,1,39,0,9.75,4,2,72,27,72,72,48.5,27.6666666666667,8.18055555555556,0,1.33333333333333,3.33333333333333,8
A Ashish Reddy,314,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",2,10,4,250,4,0,4,4,4.5,4,137.5,7.75,1,17,0,8.5,2,0,0,33,0,22,32.3333333333333,26.5,9.01041666666667,0,1,3,9.5
A Ashish Reddy,317,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",1,4,5,80,4,0,4,5.5,4.33333333333333,4,126,7,2,25,0,6.25,4,3,81,22,57,36.75,36.6666666666667,26.3333333333333,8.7037037037037,0,1.22222222222222,3.11111111111111,8
A Ashish Reddy,325,Sunrisers Hyderabad,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",1,7,4,175,4,0,4,5,4.25,4,134.166666666667,7,2,21,0,10.5,2,1,31,25,37.3333333333333,35.6,35.8571428571429,25.8,8.88333333333333,0,1.2,3,8.5
A Ashish Reddy,328,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",2,14,12,116.666666666667,11,0,11,5.75,5.6,7.5,131.666666666667,8,1,7,0,7,1,1,33,37.3333333333333,49,35.1666666666667,32.5,24.0909090909091,8.71212121212121,0,1.18181818181818,2.81818181818182,8.5
A Ashish Reddy,331,Sunrisers Hyderabad,Royal Challengers Bangalore,M Chinnaswamy Stadium,1,3,4,75,3,0,3,4.5,3,6,124.583333333333,7.375,2,12,0,12,1,0,0,48.3333333333333,36.75,16.5,31.375,23.0833333333333,8.98611111111111,0,1.08333333333333,2.66666666666667,8
A Ashish Reddy,336,Sunrisers Hyderabad,Delhi Daredevils,Feroz Shah Kotla,2,16,9,177.777777777778,10,0,10,6.6,10,10,130.493827160494,8.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5
A Ashish Reddy,340,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,2,4,5,80,4,0,4,6.16666666666667,4,4,125.444444444445,7.9,1,15,0,7.5,2,1,33,21.3333333333333,33,33,32.6,22.4615384615385,8.87179487179487,0,1.07692307692308,2.61538461538462,8
A Ashish Reddy,344,Sunrisers Hyderabad,Pune Warriors,Subrata Roy Sahara Stadium,1,19,15,126.666666666667,16,0,16,6.8,16,10,125.555555555556,8.90909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5
A Ashish Reddy,347,Sunrisers Hyderabad,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",2,7,7,100,4,0,4,5.85714285714286,5.33333333333333,4.5,123.425925925926,8.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
A Ashish Reddy,356,Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",1,36,16,225,31,0,31,10.8333333333333,17,17,131.239316239316,10.8461538461538,2,15,0,15,1,0,8,22,16.5,16.5,28.7777777777778,21.9285714285714,9.30952380952381,0,1,2.5,9.5
A Ashish Reddy,358,Sunrisers Hyderabad,Rajasthan Royals,Sawai Mansingh Stadium,1,14,11,127.272727272727,11,0,11,10.8571428571429,11,7.5,130.955988455988,11.0714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5
A Ashish Reddy,370,Sunrisers Hyderabad,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",2,5,7,71.4285714285714,2,0,2,5.375,4.85714285714286,6,126.987493987494,10.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
