wicket_keeper_batsman,match_id,role,home_team,opposition_team,venue,inning,batsman_runs,sixes,fours,half_century,century,zeros,balls,strike_rate,rating,catch,Direct_runout,Indirect_runout,Stumping,thirty_run_bonus,half_cen_points,cent_points,zero_points,batting_run_points,batting_strike_points,total_batting_points,fp_points,total_points,avg_oppo_points,avg_venue_points,avg_inning_points,avg_batsman_runs,avg_strike_rate,avg_home_team_points,bound_runs,avg_bound_runs,avg_total_points,avg_balls
A Chopra,29,Batsman,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,1,2,0,0,0,0,0,5,40,8,0,0,0,0,0,0,0,0,2,0,2,0,2,2,2,2,2,40,2,0,0,2,5
A Chopra,32,Batsman,Kolkata Knight Riders,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",1,24,0,3,0,0,0,25,96,8.5,0,0,0,0,0,0,0,0,15,0,15,0,15,15,15,8.5,13,68,8.5,12,6,8.5,15
A Chopra,35,Batsman,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,1,13,0,2,0,0,0,18,72.2222222222222,8.5,0,0,0,0,0,0,0,0,7,0,7,0,7,7,4.5,8,13,69.4074074074074,8,8,6.66666666666667,8,16
A Chopra,38,Batsman,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,1,1,0,0,0,0,0,4,25,8,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,6.25,10,58.3055555555556,6.25,0,5,6.25,13
A Chopra,51,Batsman,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,2,2,0,0,0,0,0,3,66.6666666666667,8.5,0,0,0,0,0,0,0,0,2,0,2,0,2,2,3.66666666666667,2,8.4,59.9777777777778,5.4,0,4,5.4,11
A Chopra,62,Batsman,Kolkata Knight Riders,Deccan Chargers,Newlands,1,11,0,2,0,0,0,20,55,8.5,0,0,0,0,0,0,0,0,5,-4,1,0,1,8,1,5.2,8.83333333333333,59.1481481481482,4.66666666666667,8,4.66666666666667,4.66666666666667,12.5
A Mukund,49,Batsman,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",2,0,0,0,0,0,1,1,0,8,0,0,0,0,0,0,0,-2,-2,0,-2,0,-2,-2,-2,-2,0,0,-2,0,0,-2,1
A Mukund,363,Batsman,Royal Challengers Bangalore,Rajasthan Royals,Sawai Mansingh Stadium,1,19,0,1,0,0,0,22,86.3636363636364,8.5,0,0,0,0,0,0,0,0,16,0,16,0,16,7,16,16,9.5,43.1818181818182,16,4,2,7,11.5
AA Chavan,235,Batsman,Rajasthan Royals,Kochi Tuskers Kerala,Holkar Cricket Stadium,1,1,0,0,0,0,0,3,33.3333333333333,8,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,33.3333333333333,1,0,0,1,3
AA Chavan,260,Batsman,Rajasthan Royals,Mumbai Indians,Wankhede Stadium,2,4,0,1,0,0,0,2,200,9.5,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,2.5,116.666666666667,1,4,2,1,2.5
AA Chavan,288,Batsman,Rajasthan Royals,Delhi Daredevils,Sawai Mansingh Stadium,1,7,0,1,0,0,0,6,116.666666666667,9,0,0,0,0,0,0,0,0,4,0,4,0,4,4,4,2.5,4,116.666666666667,2,4,2.66666666666667,2,3.66666666666667
AA Jhunjhunwala,118,Batsman,Rajasthan Royals,Mumbai Indians,Brabourne Stadium,2,14,1,1,0,0,0,11,127.272727272727,9,0,0,0,0,0,0,0,0,8,0,8,0,8,8,8,8,14,127.272727272727,8,10,10,8,11
AA Jhunjhunwala,121,Batsman,Rajasthan Royals,Delhi Daredevils,"Sardar Patel Stadium, Motera",1,53,1,5,1,0,0,48,110.416666666667,10,0,0,0,0,0,8,0,0,43,0,43,0,43,43,43,43,33.5,118.844696969697,25.5,26,18,25.5,29.5
AA Jhunjhunwala,125,Batsman,Rajasthan Royals,Royal Challengers Bangalore,M Chinnaswamy Stadium,1,5,0,1,0,0,0,7,71.4285714285714,8.5,0,0,0,0,0,0,0,0,2,0,2,0,2,2,2,22.5,24,103.039321789322,17.6666666666667,4,13.3333333333333,17.6666666666667,22
AA Jhunjhunwala,128,Batsman,Rajasthan Royals,Kolkata Knight Riders,"Sardar Patel Stadium, Motera",1,45,0,5,0,0,0,37,121.621621621622,10,0,0,0,0,4,0,0,0,34,0,34,0,34,34,38.5,26.3333333333333,29.25,107.684896747397,21.75,20,15,21.75,25.75
AA Jhunjhunwala,139,Batsman,Rajasthan Royals,Chennai Super Kings,"Sardar Patel Stadium, Motera",1,11,0,2,0,0,0,6,183.333333333333,9.5,0,0,0,0,0,0,0,0,5,0,5,0,5,5,27.3333333333333,21,25.6,122.814584064584,18.4,8,13.6,18.4,21.8
AA Jhunjhunwala,144,Batsman,Rajasthan Royals,Delhi Daredevils,Feroz Shah Kotla,2,2,0,0,0,0,0,6,33.3333333333333,8,0,0,0,0,0,0,0,0,2,0,2,0,2,22.5,2,5,21.6666666666667,107.901042276042,15.6666666666667,0,11.3333333333333,15.6666666666667,19.1666666666667
AA Jhunjhunwala,148,Batsman,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2,7,1,0,0,0,0,4,175,9,0,0,0,0,0,0,0,0,4,0,4,0,4,4.5,4,4.66666666666667,19.5714285714286,117.486607665179,14,6,10.5714285714286,14,17
AA Jhunjhunwala,151,Batsman,Rajasthan Royals,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha",1,11,0,1,0,0,0,8,137.5,9,0,0,0,0,0,0,0,0,8,0,8,0,8,8,8,18.4,18.5,119.988281707032,13.25,4,9.75,13.25,15.875
AA Jhunjhunwala,159,Batsman,Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,2,22,1,0,0,0,0,23,95.6521739130435,8.5,0,0,0,0,0,0,0,0,19,0,19,0,19,13.5,19,8.25,18.8888888888889,117.284269729922,13.8888888888889,6,9.33333333333333,13.8888888888889,16.6666666666667
AA Jhunjhunwala,164,Batsman,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,1,13,0,1,0,0,0,22,59.0909090909091,8.5,0,0,0,0,0,0,0,0,10,-4,6,0,6,4,12.5,16.3333333333333,18.3,111.464933666021,13.1,4,8.8,13.1,17.2
AA Jhunjhunwala,218,Batsman,Pune Warriors,Mumbai Indians,Dr DY Patil Sports Academy,2,10,0,2,0,0,0,16,62.5,8.5,0,0,0,0,0,0,0,0,4,-2,2,0,2,9.66666666666667,2,7,17.5454545454545,107.013576060019,2,8,8.72727272727273,12.0909090909091,17.0909090909091
AA Jhunjhunwala,224,Batsman,Pune Warriors,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",2,0,0,0,0,0,1,3,0,8,0,0,0,0,0,0,0,-2,-2,0,-2,0,-2,-2,-2,5.5,16.0833333333333,98.0957780550172,0,0,8,10.9166666666667,15.9166666666667
AA Jhunjhunwala,272,Batsman,Deccan Chargers,Delhi Daredevils,Feroz Shah Kotla,1,4,0,1,0,0,0,6,66.6666666666667,8.5,0,0,0,0,0,0,0,0,1,0,1,0,1,15.3333333333333,1.5,14.1428571428571,15.1538461538462,95.6781541020672,1,4,7.69230769230769,10.1538461538462,15.1538461538462
AA Jhunjhunwala,292,Batsman,Deccan Chargers,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2,1,0,0,0,0,0,1,100,8.5,0,0,0,0,0,0,0,0,1,0,1,0,1,3.33333333333333,2.5,4.85714285714286,14.1428571428571,95.9868573804909,1,0,7.14285714285714,9.5,14.1428571428571
AA Jhunjhunwala,298,Batsman,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",2,19,1,0,0,0,0,20,95,8.5,0,0,0,0,0,0,0,0,16,0,16,0,16,7,16,6.25,14.4666666666667,95.9210668884582,6,6,7.06666666666667,9.93333333333333,14.5333333333333
AB Barath,127,Batsman,Kings XI Punjab,Deccan Chargers,Barabati Stadium,2,7,0,1,0,0,0,10,70,8.5,0,0,0,0,0,0,0,0,4,-2,2,0,2,2,2,2,7,70,2,4,4,2,10
AB Barath,156,Batsman,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",2,33,1,4,0,0,0,28,117.857142857143,9,0,0,0,0,4,0,0,0,22,0,22,0,22,22,22,12,20,93.9285714285715,12,22,13,12,19
AB Barath,160,Batsman,Kings XI Punjab,Delhi Daredevils,Feroz Shah Kotla,2,2,0,0,0,0,0,5,40,8,0,0,0,0,0,0,0,0,2,0,2,0,2,2,2,8.66666666666667,14,75.952380952381,8.66666666666667,0,8.66666666666667,8.66666666666667,14.3333333333333
