match_id,bowler,inning,batting_team,total_bowler_runs,maiden,economy,overs,wickets,venue,catch,Direct_runout,Indirect_runout,Stumping,lbw/bowled,fp_points,fp_avg,opp_avg,ven_avg,inn_avg,run_avg,eco_avg,maiden_avg,wicket_avg,over_avg,Points
1,P Kumar,1,Kolkata Knight Riders,38,0,9.5,4,0,M Chinnaswamy Stadium,1,0,0,0,0,8,0,8,8,8,38,9.5,0,0,4,9
1,I Sharma,2,Royal Challengers Bangalore,7,0,2.333333333,3,1,M Chinnaswamy Stadium,0,0,0,0,1,39,0,39,39,39,7,2.333333333,0,1,3,10
1,AB Agarkar,2,Royal Challengers Bangalore,25,0,6.25,4,3,M Chinnaswamy Stadium,0,0,1,0,0,87,0,87,87,87,25,6.25,0,3,4,9.5
1,AB Dinda,2,Royal Challengers Bangalore,9,0,3,3,2,M Chinnaswamy Stadium,0,0,0,0,1,64,0,64,64,64,9,3,0,2,3,10
1,Z Khan,1,Kolkata Knight Riders,38,0,9.5,4,1,M Chinnaswamy Stadium,0,0,0,0,0,25,0,25,25,25,38,9.5,0,1,4,9
2,S Sreesanth,1,Chennai Super Kings,35,0,11.66666667,3,0,"Punjab Cricket Association Stadium, Mohali",0,0,0,0,0,-4,0,-4,-4,-4,35,11.66666667,0,0,3,8.5
2,WA Mota,1,Chennai Super Kings,24,0,12,2,1,"Punjab Cricket Association Stadium, Mohali",0,0,0,0,0,21,0,21,21,21,24,12,0,1,2,8.5
2,M Muralitharan,2,Kings XI Punjab,33,0,8.25,4,1,"Punjab Cricket Association Stadium, Mohali",0,0,0,0,0,25,0,25,25,25,33,8.25,0,1,4,9
2,P Amarnath,2,Kings XI Punjab,42,0,10.5,4,1,"Punjab Cricket Association Stadium, Mohali",1,0,0,0,0,31,0,31,31,31,42,10.5,0,1,4,8.5
2,MS Gony,2,Kings XI Punjab,42,0,10.5,4,1,"Punjab Cricket Association Stadium, Mohali",0,0,0,0,0,23,0,23,23,23,42,10.5,0,1,4,8.5
2,B Lee,1,Chennai Super Kings,35,0,8.75,4,1,"Punjab Cricket Association Stadium, Mohali",0,0,0,0,0,25,0,25,25,25,35,8.75,0,1,4,9
3,MM Patel,2,Delhi Daredevils,25,0,8.333333333,3,0,Feroz Shah Kotla,0,0,0,0,0,0,0,0,0,0,25,8.333333333,0,0,3,9
3,SK Warne,2,Delhi Daredevils,16,0,8,2,0,Feroz Shah Kotla,0,0,0,0,0,0,0,0,0,0,16,8,0,0,2,9
3,SK Trivedi,2,Delhi Daredevils,32,0,10.66666667,3,0,Feroz Shah Kotla,0,0,0,0,0,-2,0,-2,-2,-2,32,10.66666667,0,0,3,8.5
3,D Salunkhe,2,Delhi Daredevils,11,0,11,1,0,Feroz Shah Kotla,0,0,0,0,0,0,0,0,0,0,11,11,0,0,1,8.5
3,B Geeves,1,Rajasthan Royals,41,0,10.25,4,1,Feroz Shah Kotla,1,0,0,0,0,31,0,31,31,31,41,10.25,0,1,4,8.5
3,GD McGrath,1,Rajasthan Royals,21,1,5.25,4,1,Feroz Shah Kotla,0,0,0,0,0,41,0,41,41,41,21,5.25,1,1,4,10
4,M Kartik,1,Deccan Chargers,17,0,4.25,4,4,Eden Gardens,1,0,0,0,0,122,0,122,122,122,17,4.25,0,4,4,10
4,I Sharma,1,Deccan Chargers,9,1,3,3,1,Eden Gardens,0,0,0,0,0,43,39,43,43,43,8,2.666666667,0.5,1,3,10
4,PP Ojha,2,Kolkata Knight Riders,18,0,4.5,4,2,Eden Gardens,0,0,0,0,1,64,0,64,64,64,18,4.5,0,2,4,10
4,AB Dinda,1,Deccan Chargers,18,0,6,3,1,Eden Gardens,1,0,0,0,0,35,64,35,35,35,13.5,4.5,0,1.5,3,9.5
4,RP Singh,2,Kolkata Knight Riders,15,0,5,3,1,Eden Gardens,0,0,0,0,0,31,0,31,31,31,15,5,0,1,3,10
4,AB Agarkar,1,Deccan Chargers,19,0,9.5,2,2,Eden Gardens,0,0,0,0,0,50,87,50,50,50,22,7.875,0,2.5,3,9
4,WPUJC Vaas,2,Kolkata Knight Riders,9,0,3,3,2,Eden Gardens,0,0,0,0,1,64,0,64,64,64,9,3,0,2,3,10
5,DS Kulkarni,2,Royal Challengers Bangalore,19,0,6.333333333,3,1,Wankhede Stadium,0,0,0,0,0,27,0,27,27,27,19,6.333333333,0,1,3,9.5
5,Z Khan,1,Mumbai Indians,17,0,4.25,4,4,Wankhede Stadium,1,1,0,0,1,142,25,142,142,83.5,27.5,6.875,0,2.5,4,10
5,R Vinay Kumar,1,Mumbai Indians,41,0,10.25,4,0,Wankhede Stadium,0,0,0,0,0,-2,0,-2,-2,-2,41,10.25,0,0,4,8.5
5,A Nehra,2,Royal Challengers Bangalore,45,0,11.25,4,1,Wankhede Stadium,0,0,0,0,0,21,0,21,21,21,45,11.25,0,1,4,8.5
5,P Kumar,1,Mumbai Indians,29,0,7.25,4,1,Wankhede Stadium,0,0,0,0,0,25,8,25,25,16.5,33.5,8.375,0,0.5,4,9.5
5,Harbhajan Singh,2,Royal Challengers Bangalore,36,0,9,4,2,Wankhede Stadium,0,0,0,0,0,50,0,50,50,50,36,9,0,2,4,9
5,B Akhil,1,Mumbai Indians,17,0,5.666666667,3,2,Wankhede Stadium,0,0,0,0,0,54,0,54,54,54,17,5.666666667,0,2,3,9.5
6,S Sreesanth,2,Rajasthan Royals,38,0,9.5,4,1,Sawai Mansingh Stadium,0,0,0,0,0,25,-4,25,25,25,36.5,10.58333333,0,0.5,3.5,9
6,B Lee,2,Rajasthan Royals,35,0,8.75,4,1,Sawai Mansingh Stadium,0,0,0,0,0,25,25,25,25,25,35,8.75,0,1,4,9
6,D Salunkhe,1,Kings XI Punjab,21,0,10.5,2,1,Sawai Mansingh Stadium,0,0,0,0,0,23,0,23,23,23,16,10.75,0,0.5,1.5,8.5
6,SK Trivedi,1,Kings XI Punjab,25,0,6.25,4,2,Sawai Mansingh Stadium,0,0,0,0,1,60,-2,60,60,60,28.5,8.458333333,0,1,3.5,9.5
6,SK Warne,1,Kings XI Punjab,19,0,4.75,4,3,Sawai Mansingh Stadium,0,0,0,0,2,101,0,101,101,101,17.5,6.375,0,1.5,3,10
6,Pankaj Singh,1,Kings XI Punjab,12,0,12,1,0,Sawai Mansingh Stadium,0,0,0,0,0,0,0,0,0,0,12,12,0,0,1,8.5
6,WA Mota,2,Rajasthan Royals,12,0,12,1,0,Sawai Mansingh Stadium,0,0,0,0,0,0,21,0,0,0,18,12,0,0.5,1.5,8.5
6,MM Patel,1,Kings XI Punjab,36,0,9,4,2,Sawai Mansingh Stadium,0,0,0,0,1,58,0,58,58,58,30.5,8.666666667,0,1,3.5,9
